gain	24	2	-89.04
gain	2	25	-102.39
gain	25	2	-102.39
gain	2	26	-86.44
gain	26	2	-86.44
gain	2	27	-92.94
gain	27	2	-92.94
gain	2	28	-97.35
gain	28	2	-97.35
gain	2	29	-96.56
gain	29	2	-96.56
gain	2	30	-91.77
gain	30	2	-91.77
gain	2	31	-91.03
gain	31	2	-91.03
gain	2	32	-98.59
gain	32	2	-98.59
gain	2	33	-97.10
gain	33	2	-97.10
gain	2	34	-96.29
gain	34	2	-96.29
gain	2	35	-89.06
gain	35	2	-89.06
gain	2	36	-93.01
gain	36	2	-93.01
gain	2	37	-102.78
gain	37	2	-102.78
gain	2	38	-94.20
gain	38	2	-94.20
gain	2	39	-102.97
gain	39	2	-102.97
gain	2	40	-103.74
gain	40	2	-103.74
gain	2	41	-101.36
gain	41	2	-101.36
gain	2	42	-95.21
gain	42	2	-95.21
gain	2	43	-91.84
gain	43	2	-91.84
gain	2	44	-87.12
gain	44	2	-87.12
gain	2	45	-94.37
gain	45	2	-94.37
gain	2	46	-103.37
gain	46	2	-103.37
gain	2	47	-105.25
gain	47	2	-105.25
gain	2	48	-103.50
gain	48	2	-103.50
gain	3	4	-70.30
gain	4	3	-70.30
gain	3	5	-82.66
gain	5	3	-82.66
gain	3	6	-79.36
gain	6	3	-79.36
gain	3	7	-90.13
gain	7	3	-90.13
gain	3	8	-76.76
gain	8	3	-76.76
gain	3	9	-77.26
gain	9	3	-77.26
gain	3	10	-75.74
gain	10	3	-75.74
gain	3	11	-72.38
gain	11	3	-72.38
gain	3	12	-75.26
gain	12	3	-75.26
gain	3	13	-85.50
gain	13	3	-85.50
gain	3	14	-87.87
gain	14	3	-87.87
gain	3	15	-81.67
gain	15	3	-81.67
gain	3	16	-92.65
gain	16	3	-92.65
gain	3	17	-78.86
gain	17	3	-78.86
gain	3	18	-74.30
gain	18	3	-74.30
gain	3	19	-75.45
gain	19	3	-75.45
gain	3	20	-84.23
gain	20	3	-84.23
gain	3	21	-95.97
gain	21	3	-95.97
gain	3	22	-84.15
gain	22	3	-84.15
gain	3	23	-88.07
gain	23	3	-88.07
gain	3	24	-84.90
gain	24	3	-84.90
gain	3	25	-86.35
gain	25	3	-86.35
gain	3	26	-90.37
gain	26	3	-90.37
gain	3	27	-95.66
gain	27	3	-95.66
gain	3	28	-82.05
gain	28	3	-82.05
gain	3	29	-90.29
gain	29	3	-90.29
gain	3	30	-103.93
gain	30	3	-103.93
gain	3	31	-90.14
gain	31	3	-90.14
gain	3	32	-93.18
gain	32	3	-93.18
gain	3	33	-91.11
gain	33	3	-91.11
gain	3	34	-95.19
gain	34	3	-95.19
gain	3	35	-99.21
gain	35	3	-99.21
gain	3	36	-95.60
gain	36	3	-95.60
gain	3	37	-98.38
gain	37	3	-98.38
gain	3	38	-94.99
gain	38	3	-94.99
gain	3	39	-88.66
gain	39	3	-88.66
gain	3	40	-102.31
gain	40	3	-102.31
gain	3	41	-102.34
gain	41	3	-102.34
gain	3	42	-103.73
gain	42	3	-103.73
gain	3	43	-103.15
gain	43	3	-103.15
gain	3	44	-83.43
gain	44	3	-83.43
gain	3	45	-94.63
gain	45	3	-94.63
gain	3	46	-93.46
gain	46	3	-93.46
gain	3	47	-105.28
gain	47	3	-105.28
gain	3	48	-100.40
gain	48	3	-100.40
gain	4	5	-73.11
gain	5	4	-73.11
gain	4	6	-83.98
gain	6	4	-83.98
gain	4	7	-85.95
gain	7	4	-85.95
gain	4	8	-79.58
gain	8	4	-79.58
gain	4	9	-77.04
gain	9	4	-77.04
gain	4	10	-79.55
gain	10	4	-79.55
gain	4	11	-74.66
gain	11	4	-74.66
gain	4	12	-79.29
gain	12	4	-79.29
gain	4	13	-80.08
gain	13	4	-80.08
gain	4	14	-93.62
gain	14	4	-93.62
gain	4	15	-95.76
gain	15	4	-95.76
gain	4	16	-89.34
gain	16	4	-89.34
gain	4	17	-80.52
gain	17	4	-80.52
gain	4	18	-75.95
gain	18	4	-75.95
gain	4	19	-84.71
gain	19	4	-84.71
gain	4	20	-90.93
gain	20	4	-90.93
gain	4	21	-86.52
gain	21	4	-86.52
gain	4	22	-87.97
gain	22	4	-87.97
gain	4	23	-87.00
gain	23	4	-87.00
gain	4	24	-93.41
gain	24	4	-93.41
gain	4	25	-83.80
gain	25	4	-83.80
gain	4	26	-98.29
gain	26	4	-98.29
gain	4	27	-94.37
gain	27	4	-94.37
gain	4	28	-90.59
gain	28	4	-90.59
gain	4	29	-96.64
gain	29	4	-96.64
gain	4	30	-102.18
gain	30	4	-102.18
gain	4	31	-98.75
gain	31	4	-98.75
gain	4	32	-97.36
gain	32	4	-97.36
gain	4	33	-78.64
gain	33	4	-78.64
gain	4	34	-104.06
gain	34	4	-104.06
gain	4	35	-100.26
gain	35	4	-100.26
gain	4	36	-99.33
gain	36	4	-99.33
gain	4	37	-96.04
gain	37	4	-96.04
gain	4	38	-97.70
gain	38	4	-97.70
gain	4	39	-96.29
gain	39	4	-96.29
gain	4	40	-100.83
gain	40	4	-100.83
gain	4	41	-90.09
gain	41	4	-90.09
gain	4	42	-94.42
gain	42	4	-94.42
