0	0.00	0.00
1	10.00	0.00
2	20.00	0.00
3	30.00	0.00
4	40.00	0.00
5	50.00	0.00
6	60.00	0.00
7	0.00	10.00
8	10.00	10.00
9	20.00	10.00
10	30.00	10.00
11	40.00	10.00
12	50.00	10.00
13	60.00	10.00
14	0.00	20.00
15	10.00	20.00
16	20.00	20.00
17	30.00	20.00
18	40.00	20.00
19	50.00	20.00
20	60.00	20.00
21	0.00	30.00
22	10.00	30.00
23	20.00	30.00
24	30.00	30.00
25	40.00	30.00
26	50.00	30.00
27	60.00	30.00
28	0.00	40.00
29	10.00	40.00
30	20.00	40.00
31	30.00	40.00
32	40.00	40.00
33	50.00	40.00
34	60.00	40.00
35	0.00	50.00
36	10.00	50.00
37	20.00	50.00
38	30.00	50.00
39	40.00	50.00
40	50.00	50.00
41	60.00	50.00
42	0.00	60.00
43	10.00	60.00
44	20.00	60.00
45	30.00	60.00
46	40.00	60.00
47	50.00	60.00
48	60.00	60.00
